block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF=0.5%	MAF=0.5%-1%	fun	rep	data
59	EAS	344	81	80	49	28	28	7	both	.	gnomAD
60	EAS	1138	267	226	105	63	72	18	both	.	gnomAD
61	EAS	1503	388	322	132	105	91	18	both	.	gnomAD
62	EAS	1310	302	254	146	94	96	20	both	.	gnomAD
63	EAS	1032	239	225	102	72	80	14	both	.	gnomAD
64	EAS	895	194	187	76	61	43	9	both	.	gnomAD
65	EAS	706	164	159	84	48	57	9	both	.	gnomAD
66	EAS	1302	304	295	142	89	77	9	both	.	gnomAD
67	EAS	805	236	213	116	61	73	16	both	.	gnomAD
68	EAS	813	173	189	75	51	60	12	both	.	gnomAD
69	EAS	265	55	57	33	19	16	4	both	.	gnomAD
70	EAS	264	62	49	37	22	23	4	both	.	gnomAD
71	EAS	1345	293	254	139	83	76	6	both	.	gnomAD
72	EAS	276	59	50	26	19	14	4	both	.	gnomAD
73	EAS	353	85	67	41	28	17	4	both	.	gnomAD
74	EAS	505	119	113	52	37	28	6	both	.	gnomAD
75	EAS	459	105	102	45	42	34	8	both	.	gnomAD
76	EAS	559	120	105	65	31	43	7	both	.	gnomAD
77	EAS	614	134	150	67	42	57	8	both	.	gnomAD
78	EAS	733	163	163	83	53	47	5	both	.	gnomAD
79	EAS	1261	282	259	132	80	91	21	both	.	gnomAD
80	EAS	455	101	94	39	33	35	3	both	.	gnomAD
81	EAS	447	97	91	36	33	29	3	both	.	gnomAD
82	EAS	189	34	45	19	11	6	3	both	.	gnomAD
83	EAS	194	41	63	20	15	15	1	both	.	gnomAD
84	EAS	111	44	23	18	4	12	2	both	.	gnomAD
85	EAS	461	110	113	57	35	38	15	both	.	gnomAD
86	EAS	507	131	98	46	31	19	8	both	.	gnomAD
87	EAS	295	74	65	30	19	19	3	both	.	gnomAD
88	EAS	361	80	94	35	24	34	7	both	.	gnomAD
89	EAS	219	48	50	30	12	18	4	both	.	gnomAD
90	EAS	270	64	85	35	22	32	2	both	.	gnomAD
91	EAS	160	43	35	18	6	8	0	both	.	gnomAD
93	EAS	96	13	15	5	5	8	1	both	.	gnomAD
94	EAS	173	41	32	16	12	7	2	both	.	gnomAD
95	EAS	530	155	132	74	40	68	18	both	.	gnomAD
96	EAS	355	70	71	41	33	42	14	both	.	gnomAD
97	EAS	320	118	106	64	36	48	17	both	.	gnomAD
98	EAS	580	123	131	70	52	54	5	both	.	gnomAD
99	EAS	689	161	137	73	38	44	12	both	.	gnomAD
100	EAS	503	116	113	45	29	36	5	both	.	gnomAD
101	EAS	308	92	67	36	25	29	4	both	.	gnomAD
102	EAS	399	112	74	55	25	25	9	both	.	gnomAD
103	EAS	270	61	59	24	13	17	2	both	.	gnomAD
104	EAS	177	31	26	15	8	10	0	both	.	gnomAD
105	EAS	1257	284	243	123	85	75	9	both	.	gnomAD
106	EAS	1001	210	194	84	58	73	16	both	.	gnomAD
0	AFR	226	57	58	30	20	31	7	both	.	gnomAD
1	AFR	423	107	84	51	26	51	17	both	.	gnomAD
2	AFR	351	91	94	41	29	39	13	both	.	gnomAD
3	AFR	942	266	203	88	71	93	30	both	.	gnomAD
4	AFR	191	42	41	13	9	15	3	both	.	gnomAD
5	AFR	572	142	141	73	44	47	20	both	.	gnomAD
6	AFR	366	111	93	37	22	37	16	both	.	gnomAD
7	AFR	769	194	181	68	58	60	18	both	.	gnomAD
9	AFR	410	89	93	41	16	32	22	both	.	gnomAD
10	AFR	182	51	41	23	10	23	8	both	.	gnomAD
11	AFR	161	40	43	12	8	17	1	both	.	gnomAD
12	AFR	252	66	53	19	16	24	8	both	.	gnomAD
13	AFR	500	135	110	54	41	62	21	both	.	gnomAD
14	AFR	672	169	128	55	41	67	18	both	.	gnomAD
15	AFR	630	184	178	91	56	83	38	both	.	gnomAD
16	AFR	537	143	108	49	31	36	14	both	.	gnomAD
18	AFR	739	211	173	87	54	87	29	both	.	gnomAD
19	AFR	401	114	110	45	33	40	11	both	.	gnomAD
20	AFR	288	60	60	25	17	30	8	both	.	gnomAD
21	AFR	139	34	39	14	20	11	9	both	.	gnomAD
22	AFR	143	39	37	18	11	29	2	both	.	gnomAD
24	AFR	159	29	31	20	14	15	6	both	.	gnomAD
25	AFR	586	151	119	54	39	46	20	both	.	gnomAD
26	AFR	591	153	134	71	51	59	34	both	.	gnomAD
27	AFR	468	132	85	48	32	53	25	both	.	gnomAD
28	AFR	1236	313	266	133	113	157	45	both	.	gnomAD
29	AFR	224	70	61	30	12	26	5	both	.	gnomAD
30	AFR	703	190	145	79	33	59	14	both	.	gnomAD
31	AFR	1395	364	313	133	102	112	35	both	.	gnomAD
32	AFR	724	211	163	72	37	69	28	both	.	gnomAD
33	AFR	1303	346	279	126	77	112	38	both	.	gnomAD
34	AFR	697	169	126	63	37	50	18	both	.	gnomAD
35	AFR	148	35	41	16	12	19	3	both	.	gnomAD
36	AFR	610	189	145	62	31	46	25	both	.	gnomAD
37	AFR	487	158	80	57	36	55	17	both	.	gnomAD
38	AFR	819	196	179	54	65	84	39	both	.	gnomAD
39	AFR	495	150	129	73	39	55	27	both	.	gnomAD
40	AFR	385	109	74	23	16	31	9	both	.	gnomAD
41	AFR	482	130	110	45	44	58	16	both	.	gnomAD
42	AFR	814	210	196	88	64	99	30	both	.	gnomAD
43	AFR	345	101	88	40	32	32	6	both	.	gnomAD
44	AFR	620	122	135	61	49	64	20	both	.	gnomAD
45	AFR	820	231	176	70	33	58	23	both	.	gnomAD
46	AFR	1088	283	212	105	75	90	28	both	.	gnomAD
47	AFR	508	137	92	57	33	74	17	both	.	gnomAD
48	AFR	564	118	107	55	36	70	27	both	.	gnomAD
49	AFR	332	81	72	32	16	40	11	both	.	gnomAD
51	AFR	121	38	24	19	9	11	3	both	.	gnomAD
52	AFR	98	23	18	12	4	7	3	both	.	gnomAD
53	AFR	96	20	28	9	3	5	2	both	.	gnomAD
54	AFR	128	23	20	11	5	5	6	both	.	gnomAD
55	AFR	548	143	114	50	40	53	24	both	.	gnomAD
56	AFR	147	44	21	17	5	8	3	both	.	gnomAD
58	AFR	552	144	119	48	38	46	18	both	.	gnomAD
59	AFR	400	99	90	42	23	48	13	both	.	gnomAD
60	AFR	1149	316	258	128	73	114	34	both	.	gnomAD
61	AFR	1588	416	304	154	103	150	49	both	.	gnomAD
62	AFR	1422	338	280	119	97	131	48	both	.	gnomAD
63	AFR	1004	283	215	123	89	132	39	both	.	gnomAD
64	AFR	957	246	160	68	59	85	27	both	.	gnomAD
65	AFR	683	199	169	84	64	114	35	both	.	gnomAD
66	AFR	1469	354	296	140	82	106	26	both	.	gnomAD
67	AFR	950	279	263	121	83	112	36	both	.	gnomAD
68	AFR	841	221	185	89	53	79	42	both	.	gnomAD
69	AFR	257	83	62	25	13	27	16	both	.	gnomAD
70	AFR	296	75	75	38	14	33	12	both	.	gnomAD
71	AFR	1374	363	269	127	107	123	45	both	.	gnomAD
72	AFR	244	82	74	25	32	32	14	both	.	gnomAD
73	AFR	352	91	92	25	19	46	20	both	.	gnomAD
74	AFR	552	126	107	69	36	47	15	both	.	gnomAD
75	AFR	471	104	99	49	35	43	25	both	.	gnomAD
76	AFR	575	139	115	55	47	57	14	both	.	gnomAD
77	AFR	615	157	142	62	37	61	23	both	.	gnomAD
78	AFR	747	193	167	84	44	75	22	both	.	gnomAD
79	AFR	1321	312	278	112	105	162	34	both	.	gnomAD
80	AFR	511	129	107	42	35	43	16	both	.	gnomAD
81	AFR	445	104	103	46	36	30	15	both	.	gnomAD
82	AFR	203	57	46	31	13	16	8	both	.	gnomAD
83	AFR	218	51	50	22	8	25	5	both	.	gnomAD
84	AFR	126	27	28	15	13	13	6	both	.	gnomAD
85	AFR	460	138	98	63	42	51	25	both	.	gnomAD
86	AFR	536	132	124	60	37	30	25	both	.	gnomAD
87	AFR	304	103	58	35	33	26	5	both	.	gnomAD
88	AFR	389	107	82	48	31	39	16	both	.	gnomAD
89	AFR	228	54	44	28	17	37	14	both	.	gnomAD
90	AFR	296	84	64	35	23	42	14	both	.	gnomAD
91	AFR	160	42	45	23	10	18	5	both	.	gnomAD
93	AFR	108	24	23	5	6	14	5	both	.	gnomAD
94	AFR	174	33	33	12	9	10	7	both	.	gnomAD
95	AFR	580	163	138	77	54	87	44	both	.	gnomAD
96	AFR	399	110	98	44	41	37	35	both	.	gnomAD
97	AFR	337	132	101	53	43	55	23	both	.	gnomAD
98	AFR	629	162	125	68	43	73	31	both	.	gnomAD
99	AFR	679	156	136	60	58	89	38	both	.	gnomAD
100	AFR	516	135	103	56	31	64	18	both	.	gnomAD
101	AFR	363	91	86	28	27	35	21	both	.	gnomAD
102	AFR	416	110	90	48	47	47	27	both	.	gnomAD
103	AFR	250	77	49	32	13	20	15	both	.	gnomAD
104	AFR	163	53	37	22	8	29	10	both	.	gnomAD
105	AFR	1254	315	268	120	109	121	48	both	.	gnomAD
106	AFR	1102	261	215	105	60	104	32	both	.	gnomAD
0	SAS	344	85	108	35	28	40	5	both	.	gnomAD
1	SAS	612	134	121	71	40	58	18	both	.	gnomAD
2	SAS	532	158	152	48	35	54	14	both	.	gnomAD
3	SAS	1446	346	317	160	81	115	9	both	.	gnomAD
4	SAS	264	78	69	26	16	26	1	both	.	gnomAD
5	SAS	969	221	197	109	58	85	11	both	.	gnomAD
6	SAS	555	142	143	75	48	50	7	both	.	gnomAD
7	SAS	1126	341	261	117	61	97	8	both	.	gnomAD
9	SAS	551	149	145	73	39	58	2	both	.	gnomAD
10	SAS	290	71	62	21	17	18	4	both	.	gnomAD
11	SAS	241	54	63	26	21	28	3	both	.	gnomAD
12	SAS	368	110	86	51	27	38	7	both	.	gnomAD
13	SAS	745	191	186	91	51	57	9	both	.	gnomAD
14	SAS	946	234	216	115	75	79	12	both	.	gnomAD
15	SAS	865	258	252	93	72	86	12	both	.	gnomAD
16	SAS	737	198	175	93	55	57	7	both	.	gnomAD
18	SAS	1124	289	268	122	76	88	8	both	.	gnomAD
19	SAS	608	153	135	62	35	59	11	both	.	gnomAD
20	SAS	388	106	109	31	25	22	5	both	.	gnomAD
21	SAS	241	49	60	14	16	27	3	both	.	gnomAD
22	SAS	221	53	54	27	14	28	3	both	.	gnomAD
24	SAS	205	70	59	19	23	23	3	both	.	gnomAD
25	SAS	846	214	195	83	52	60	7	both	.	gnomAD
26	SAS	958	218	175	97	53	74	13	both	.	gnomAD
27	SAS	759	162	161	84	50	49	6	both	.	gnomAD
28	SAS	1847	428	385	162	116	158	35	both	.	gnomAD
29	SAS	346	97	80	40	29	35	8	both	.	gnomAD
30	SAS	994	273	197	100	70	94	11	both	.	gnomAD
31	SAS	2155	563	452	215	148	169	28	both	.	gnomAD
32	SAS	1082	295	254	130	84	88	16	both	.	gnomAD
33	SAS	1963	474	410	209	126	166	28	both	.	gnomAD
34	SAS	1138	268	196	95	76	100	12	both	.	gnomAD
35	SAS	230	59	48	17	17	21	5	both	.	gnomAD
36	SAS	1002	222	229	90	66	78	8	both	.	gnomAD
37	SAS	686	199	154	79	49	55	19	both	.	gnomAD
38	SAS	1200	292	278	118	66	108	22	both	.	gnomAD
39	SAS	723	215	188	85	72	73	8	both	.	gnomAD
40	SAS	569	148	118	42	30	38	6	both	.	gnomAD
41	SAS	688	193	172	77	49	57	13	both	.	gnomAD
42	SAS	1349	347	239	137	67	99	20	both	.	gnomAD
43	SAS	589	131	125	64	28	41	11	both	.	gnomAD
44	SAS	947	229	231	87	57	72	10	both	.	gnomAD
45	SAS	1233	314	284	117	69	90	9	both	.	gnomAD
46	SAS	1672	353	342	149	93	104	15	both	.	gnomAD
47	SAS	739	179	160	85	61	56	11	both	.	gnomAD
48	SAS	742	176	170	85	71	66	11	both	.	gnomAD
49	SAS	498	99	101	51	33	33	5	both	.	gnomAD
51	SAS	172	39	42	18	11	12	5	both	.	gnomAD
52	SAS	148	29	32	13	5	16	0	both	.	gnomAD
53	SAS	140	30	30	21	15	12	3	both	.	gnomAD
54	SAS	187	36	23	16	7	8	1	both	.	gnomAD
55	SAS	823	203	201	104	51	67	10	both	.	gnomAD
56	SAS	211	42	63	18	13	20	3	both	.	gnomAD
58	SAS	834	189	165	82	45	84	10	both	.	gnomAD
59	SAS	583	155	141	66	48	56	5	both	.	gnomAD
60	SAS	1762	422	376	184	118	128	20	both	.	gnomAD
61	SAS	2569	600	550	231	164	190	29	both	.	gnomAD
62	SAS	2119	588	444	219	139	163	30	both	.	gnomAD
63	SAS	1516	368	385	173	113	163	30	both	.	gnomAD
64	SAS	1432	353	309	137	83	118	15	both	.	gnomAD
65	SAS	1036	264	235	112	76	118	13	both	.	gnomAD
66	SAS	2166	540	446	213	119	136	22	both	.	gnomAD
67	SAS	1417	378	298	167	120	132	14	both	.	gnomAD
68	SAS	1252	333	278	114	82	106	14	both	.	gnomAD
69	SAS	376	103	102	46	40	42	6	both	.	gnomAD
70	SAS	492	136	92	51	30	52	6	both	.	gnomAD
71	SAS	2126	510	444	211	127	174	30	both	.	gnomAD
72	SAS	423	103	94	46	31	38	1	both	.	gnomAD
73	SAS	637	144	107	50	34	49	7	both	.	gnomAD
74	SAS	801	228	197	79	55	67	15	both	.	gnomAD
75	SAS	745	177	141	77	60	86	9	both	.	gnomAD
76	SAS	805	244	186	114	58	63	7	both	.	gnomAD
77	SAS	926	253	228	106	80	103	11	both	.	gnomAD
78	SAS	1101	251	226	109	73	95	18	both	.	gnomAD
79	SAS	1949	514	449	208	139	171	29	both	.	gnomAD
80	SAS	713	198	169	74	54	58	6	both	.	gnomAD
81	SAS	695	164	133	71	41	67	10	both	.	gnomAD
82	SAS	305	71	59	38	18	31	2	both	.	gnomAD
83	SAS	272	67	64	45	23	21	2	both	.	gnomAD
84	SAS	215	49	52	25	18	15	4	both	.	gnomAD
85	SAS	708	194	199	87	57	78	14	both	.	gnomAD
86	SAS	819	209	153	75	54	67	9	both	.	gnomAD
87	SAS	495	116	106	46	29	40	4	both	.	gnomAD
88	SAS	557	129	114	69	37	51	1	both	.	gnomAD
89	SAS	346	81	83	28	26	38	3	both	.	gnomAD
90	SAS	482	106	104	63	43	47	10	both	.	gnomAD
91	SAS	256	64	64	24	10	16	0	both	.	gnomAD
93	SAS	173	46	35	21	4	13	2	both	.	gnomAD
94	SAS	265	57	62	33	11	26	5	both	.	gnomAD
95	SAS	846	211	214	107	66	91	20	both	.	gnomAD
96	SAS	560	148	143	69	33	62	8	both	.	gnomAD
97	SAS	407	153	172	74	40	68	17	both	.	gnomAD
98	SAS	927	226	225	105	86	86	18	both	.	gnomAD
99	SAS	1147	290	259	112	72	90	15	both	.	gnomAD
100	SAS	786	180	178	86	40	68	7	both	.	gnomAD
101	SAS	572	157	120	50	41	41	7	both	.	gnomAD
102	SAS	632	157	129	74	43	64	11	both	.	gnomAD
103	SAS	352	98	73	35	27	34	5	both	.	gnomAD
104	SAS	246	74	50	27	23	15	2	both	.	gnomAD
105	SAS	1899	488	360	198	132	158	23	both	.	gnomAD
106	SAS	1516	355	343	141	129	121	21	both	.	gnomAD
0	AFR	77	16	24	13	5	16	2	fun	.	gnomAD functional
1	AFR	106	28.0000000000001	28.0000000000001	18	5	17	5	fun	.	gnomAD functional
10	AFR	76	21	22	15	5	17	5	fun	.	gnomAD functional
100	AFR	151	51.9999999999998	38.9999999999999	17	7.00000000000001	28	5.99999999999998	fun	.	gnomAD functional
101	AFR	102	29	21	12	5.99999999999999	16	12	fun	.	gnomAD functional
102	AFR	90.0000000000001	27.9999999999999	23	8	11	10	5.00000000000001	fun	.	gnomAD functional
103	AFR	42	13	10	7	2	5	3	fun	.	gnomAD functional
104	AFR	36	14	8	8	0.999999999999996	9.99999999999996	0.999999999999996	fun	.	gnomAD functional
105	AFR	289	86.0000000000001	63.0000000000001	29	31	42	14	fun	.	gnomAD functional
106	AFR	331	78	81.9999999999999	31	22	30	15	fun	.	gnomAD functional
11	AFR	81	17	23	7	5	10	1	fun	.	gnomAD functional
12	AFR	54	19	10	5	6	11	4	fun	.	gnomAD functional
13	AFR	151	45.0000000000001	32	23	22	25	8	fun	.	gnomAD functional
14	AFR	254	62	55.9999999999998	28	23	29	9.99999999999998	fun	.	gnomAD functional
15	AFR	179	68.9999999999998	73.0000000000001	33	24	35	17	fun	.	gnomAD functional
16	AFR	221	62.9999999999999	53.0000000000002	23	19	20	7.99999999999998	fun	.	gnomAD functional
18	AFR	164	54.0000000000001	37.9999999999999	21	14	19	10	fun	.	gnomAD functional
19	AFR	133	40.9999999999999	42.0000000000001	21	13	19	4	fun	.	gnomAD functional
2	AFR	80	21.9999999999999	24	17	11	10	4.00000000000001	fun	.	gnomAD functional
20	AFR	85.9999999999999	18.9999999999999	16	12	6	17	7	fun	.	gnomAD functional
21	AFR	46	12	9.99999999999998	4	9	6	3	fun	.	gnomAD functional
22	AFR	46	22	14	9	4	10	2	fun	.	gnomAD functional
24	AFR	48	8	9	7	4	5	1	fun	.	gnomAD functional
25	AFR	167	44.0000000000001	39.9999999999999	17	11	15	3.99999999999999	fun	.	gnomAD functional
26	AFR	171	46.0000000000001	50.0000000000002	17	24	25	7.99999999999998	fun	.	gnomAD functional
27	AFR	138	34	30	22	15	26	11	fun	.	gnomAD functional
28	AFR	330	84.0000000000003	63	40	26	39	16	fun	.	gnomAD functional
29	AFR	67	27.0000000000001	23	10	3	7	2	fun	.	gnomAD functional
3	AFR	282	67.0000000000002	59	33	32	36	16	fun	.	gnomAD functional
30	AFR	168	47	37.0000000000001	20	15	16	3	fun	.	gnomAD functional
31	AFR	428	122	118	46	36	50	16	fun	.	gnomAD functional
32	AFR	174	59.9999999999998	53.9999999999999	23	9.99999999999998	24	13	fun	.	gnomAD functional
33	AFR	338	102	74.9999999999998	39	32	34	15	fun	.	gnomAD functional
34	AFR	204	58.0000000000002	42.9999999999998	25	21	16	8	fun	.	gnomAD functional
35	AFR	39	11	13	5	5	8	3	fun	.	gnomAD functional
36	AFR	207	71.0000000000001	53.0000000000002	19	7.99999999999998	20	7.00000000000001	fun	.	gnomAD functional
37	AFR	129	46	24	22	13	23	4.99999999999999	fun	.	gnomAD functional
38	AFR	278	74.9999999999998	61	18	34	32	19	fun	.	gnomAD functional
